x,y,z,PIR,time
-168,-2652,13388,1000,2019-06-04 14:12:39.825031
-236,-2588,13828,1000,2019-06-04 14:12:39.928649
-116,-2660,13664,1000,2019-06-04 14:12:40.033293
-84,-2584,13720,1000,2019-06-04 14:12:40.145145
-256,-2520,13764,1000,2019-06-04 14:12:40.250006
-372,-2584,13312,1000,2019-06-04 14:12:40.354712
-560,-2608,14116,1000,2019-06-04 14:12:40.465395
-820,-2672,13828,1000,2019-06-04 14:12:40.570185
-340,-2528,13576,1000,2019-06-04 14:12:40.676543
-284,-2580,13940,1000,2019-06-04 14:12:40.787389
-576,-2748,13788,1000,2019-06-04 14:12:40.892011
-468,-2628,13620,1000,2019-06-04 14:12:41.005510
56,-2568,13880,1000,2019-06-04 14:12:41.110352
-1472,-2956,14804,1000,2019-06-04 14:12:41.215407
4940,-292,14964,1000,2019-06-04 14:12:41.330934
10552,1876,4916,1000,2019-06-04 14:12:41.446014
16836,1320,-244,1000,2019-06-04 14:12:41.555845
11956,2376,-11388,1000,2019-06-04 14:12:41.666296
21328,-820,-3628,0,2019-06-04 14:12:41.775079
19072,-1796,-3544,0,2019-06-04 14:12:41.883724
17108,-1076,-3764,0,2019-06-04 14:12:41.995797
16712,-372,-4684,0,2019-06-04 14:12:42.115722
17292,-1260,-3884,0,2019-06-04 14:12:42.234931
16308,-1312,-1248,0,2019-06-04 14:12:42.355301
16980,-1272,-2480,0,2019-06-04 14:12:42.464762
16208,-1504,-1604,0,2019-06-04 14:12:42.573401
19164,-4388,1004,0,2019-06-04 14:12:42.676954
18076,-440,-2652,0,2019-06-04 14:12:42.785581
14732,-1364,-3628,0,2019-06-04 14:12:42.894152
15932,-2096,-2900,0,2019-06-04 14:12:43.002792
17272,-1332,-2336,0,2019-06-04 14:12:43.111366
18192,-2880,-2084,0,2019-06-04 14:12:43.214920
13708,-3260,-2456,0,2019-06-04 14:12:43.323557
15856,-2580,-1692,0,2019-06-04 14:12:43.430779
16108,-2468,-2012,0,2019-06-04 14:12:43.539420
16504,-2016,-1940,0,2019-06-04 14:12:43.648118
16468,-2816,-2116,0,2019-06-04 14:12:43.751687
16972,-3052,-972,0,2019-06-04 14:12:43.860199
16532,-1968,-2064,0,2019-06-04 14:12:43.968876
16644,-2380,-2292,0,2019-06-04 14:12:44.072369
16332,-3032,-1824,0,2019-06-04 14:12:44.179071
15808,-2580,-1552,0,2019-06-04 14:12:44.287803
15444,-3196,-1172,0,2019-06-04 14:12:44.391876
16468,-2160,-2260,0,2019-06-04 14:12:44.500653
16788,-2244,-1324,0,2019-06-04 14:12:44.616595
17208,-2500,-1292,0,2019-06-04 14:12:44.735559
16828,-2920,-1188,0,2019-06-04 14:12:44.855958
16352,-2268,-960,0,2019-06-04 14:12:44.970197
16340,-2612,-884,0,2019-06-04 14:12:45.073808
17308,-2440,-888,0,2019-06-04 14:12:45.177361
16604,-2256,-1700,0,2019-06-04 14:12:45.280923
15636,-2340,-1772,0,2019-06-04 14:12:45.384480
17008,-2036,-2044,0,2019-06-04 14:12:45.487997
16112,-2468,-1736,0,2019-06-04 14:12:45.591566
17020,-2040,-1452,0,2019-06-04 14:12:45.695349
17916,-2112,-2004,0,2019-06-04 14:12:45.799562
16312,-1916,-1716,0,2019-06-04 14:12:45.903149
15724,-2500,-1980,0,2019-06-04 14:12:46.006635
16012,-2084,-2268,0,2019-06-04 14:12:46.110218
15736,-2696,-1596,0,2019-06-04 14:12:46.213824
16580,-3152,-188,0,2019-06-04 14:12:46.317442
16820,-2588,-1084,0,2019-06-04 14:12:46.421062
16960,-2296,-864,0,2019-06-04 14:12:46.524872
15736,-2772,-1000,0,2019-06-04 14:12:46.629316
17196,-2408,-432,0,2019-06-04 14:12:46.733519
